ERROR 2023-03-29 09:15:01,627 [AppLog] 发送设备请求信息异常：无法连接到远程服务器
INFO  2023-03-29 10:54:00,578 [AppLog] 请求设备信息返回！{
  "code": 1,
  "msg": "设置成功！",
  "data": {
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "device_name": "Royee",
    "location": "Royee",
    "ip": "192.168.17.235",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "mac": "6C-24-08-BE-BB-26",
    "computer_name": "Royee",
    "group": "1",
    "os_version": "Microsoft Windows NT 6.2.9200.0"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:00,578 [AppLog] 设备信息保存成功！
INFO  2023-03-29 10:54:00,611 [AppLog] 获取全局禁止进程数据为：{
  "code": 1,
  "msg": "获取成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:45,982 [AppLog] 获取设备信息成功返回{
  "code": 1,
  "msg": "获取成功！",
  "data": {
    "id": 18,
    "device_name": "Royee",
    "location": "Royee",
    "group": 1,
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "ip": "192.168.17.235",
    "mac": "6C-24-08-BE-BB-26",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "os_version": "Microsoft Windows NT 6.2.9200.0",
    "status": 1,
    "online": 0,
    "create_time": "2023-03-29 10:33:17",
    "update_time": "2023-03-29 10:33:17",
    "delete_time": null,
    "computer_name": "Royee",
    "mark": null,
    "sort": 10
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:56,044 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "验证ip成功！",
  "data": {
    "ip": "192.168.17.235"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:56,045 [AppLog] 有效ip 为:192.168.17.235
INFO  2023-03-29 10:54:56,094 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "设置成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:56,094 [AppLog] 发送成功！:A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C
INFO  2023-03-29 10:54:56,159 [AppLog] 请求返回信息为:{"code":1,"msg":"设置成功！","data":{"UUID":"A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C","device_name":"Royee","location":"Royee","ip":"192.168.17.235","ips":"192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1","mac":"6C-24-08-BE-BB-26","computer_name":"Royee","group":"1","os_version":"Microsoft Windows NT 6.2.9200.0"},"url":"","wait":3}
INFO  2023-03-29 10:54:56,159 [AppLog] 请求设备信息返回！{
  "code": 1,
  "msg": "设置成功！",
  "data": {
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "device_name": "Royee",
    "location": "Royee",
    "ip": "192.168.17.235",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "mac": "6C-24-08-BE-BB-26",
    "computer_name": "Royee",
    "group": "1",
    "os_version": "Microsoft Windows NT 6.2.9200.0"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:56,159 [AppLog] 设备信息保存成功！
INFO  2023-03-29 10:54:56,214 [AppLog] 获取全局禁止进程数据为：{
  "code": 1,
  "msg": "获取成功！",
  "data": [],
  "url": "",
  "wait": 3
}
